Step,Period,V(10/20V),I(10/5A)
1,0.2sec,1,0.01
2,0.2sec,1,0.011
3,0.2sec,1,0.016
4,0.2sec,1,0.017
5,0.2sec,1,0.02
6,0.2sec,1,0.015
7,0.2sec,1,0.005
8,0.2sec,1,0.001
9,0.2sec,1,0.0
10,0.2sec,1,0.001
11,0.2sec,1,0.002
12,0.2sec,1,0.001
13,0.2sec,1,0.0
14,0.2sec,1,0.0
15,0.2sec,1,0.0
16,0.2sec,1,0.0
17,0.2sec,1,0.001
18,0.2sec,1,0.002
19,0.2sec,1,0.001
20,0.2sec,1,0.0
21,0.2sec,1,0.0
22,0.2sec,1,0.0
23,0.2sec,1,0.0
24,0.2sec,1,0.0
25,0.2sec,1,0.0
26,0.2sec,1,0.0
27,0.2sec,1,0.0
28,0.2sec,1,0.0
29,0.2sec,1,0.0
30,0.2sec,1,0.0
31,0.2sec,1,0.0
32,0.2sec,1,0.0
33,0.2sec,1,0.0
34,0.2sec,1,0.0
35,0.2sec,1,0.0
36,0.2sec,1,0.0
37,0.2sec,1,0.0
38,0.2sec,1,0.0
39,0.2sec,1,0.0
40,0.2sec,1,0.0
41,0.2sec,1,0.0
42,0.2sec,1,0.0
43,0.2sec,1,0.0
44,0.2sec,1,0.0
45,0.2sec,1,0.0
46,0.2sec,1,0.0
47,0.2sec,1,0.0
48,0.2sec,1,0.0
49,0.2sec,1,0.0
50,0.2sec,1,0.0
51,0.2sec,1,0.0
52,0.2sec,1,0.0
53,0.2sec,1,0.0
54,0.2sec,1,0.0
55,0.2sec,1,0.0
56,0.2sec,1,0.0
57,0.2sec,1,0.0
58,0.2sec,1,0.001
59,0.2sec,1,0.001
60,0.2sec,1,0.003
61,0.2sec,1,0.008
62,0.2sec,1,0.016
63,0.2sec,1,0.012
64,0.2sec,1,0.016
65,0.2sec,1,0.006
66,0.2sec,1,0.01
67,0.2sec,1,0.009000000000000001
68,0.2sec,1,0.006
69,0.2sec,1,0.016
70,0.2sec,1,0.011
71,0.2sec,1,0.02
72,0.2sec,1,0.016
73,0.2sec,1,0.009000000000000001
74,0.2sec,1,0.003
75,0.2sec,1,0.004
76,0.2sec,1,0.003
77,0.2sec,1,0.003
78,0.2sec,1,0.002
79,0.2sec,1,0.001
80,0.2sec,1,0.002
81,0.2sec,1,0.003
82,0.2sec,1,0.003
83,0.2sec,1,0.005
84,0.2sec,1,0.013000000000000001
85,0.2sec,1,0.007
86,0.2sec,1,0.002
87,0.2sec,1,0.003
88,0.2sec,1,0.006
89,0.2sec,1,0.004
90,0.2sec,1,0.002
91,0.2sec,1,0.001
92,0.2sec,1,0.001
93,0.2sec,1,0.001
94,0.2sec,1,0.001
95,0.2sec,1,0.001
96,0.2sec,1,0.001
97,0.2sec,1,0.001
98,0.2sec,1,0.002
99,0.2sec,1,0.002
100,0.2sec,1,0.002
101,0.2sec,1,0.002
102,0.2sec,1,0.003
103,0.2sec,1,0.003
104,0.2sec,1,0.004
105,0.2sec,1,0.016
106,0.2sec,1,0.016
107,0.2sec,1,0.02
108,0.2sec,1,0.016
109,0.2sec,1,0.006
110,0.2sec,1,0.016
