Step,Period,V(10/20V),I(10/5A)
1,0.2sec,1,0.000168
2,0.2sec,1,0.000168
3,0.2sec,1,0.000168
4,0.2sec,1,0.000169
5,0.2sec,1,0.000169
6,0.2sec,1,0.000172
7,0.2sec,1,0.000174
8,0.2sec,1,0.000176
9,0.2sec,1,0.000178
10,0.2sec,1,0.000181
11,0.2sec,1,0.000182
12,0.2sec,1,0.000185
13,0.2sec,1,0.000187
14,0.2sec,1,0.000190
15,0.2sec,1,0.000194
16,0.2sec,1,0.000197
17,0.2sec,1,0.000200
18,0.2sec,1,0.000203
19,0.2sec,1,0.000205
20,0.2sec,1,0.000207
21,0.2sec,1,0.000210
22,0.2sec,1,0.000211
23,0.2sec,1,0.000213
24,0.2sec,1,0.000214
25,0.2sec,1,0.000217
26,0.2sec,1,0.000218
27,0.2sec,1,0.000220
28,0.2sec,1,0.000221
29,0.2sec,1,0.000223
30,0.2sec,1,0.000223
31,0.2sec,1,0.000224
32,0.2sec,1,0.000224
33,0.2sec,1,0.000225
34,0.2sec,1,0.000226
35,0.2sec,1,0.000226
36,0.2sec,1,0.000226
37,0.2sec,1,0.000226
38,0.2sec,1,0.000226
39,0.2sec,1,0.000227
40,0.2sec,1,0.000227
41,0.2sec,1,0.000227
42,0.2sec,1,0.000227
43,0.2sec,1,0.000227
44,0.2sec,1,0.000227
45,0.2sec,1,0.000227
46,0.2sec,1,0.000226
47,0.2sec,1,0.000226
48,0.2sec,1,0.000223
49,0.2sec,1,0.000221
50,0.2sec,1,0.000218
51,0.2sec,1,0.000216
52,0.2sec,1,0.000214
53,0.2sec,1,0.000212
54,0.2sec,1,0.000210
55,0.2sec,1,0.000207
56,0.2sec,1,0.000203
57,0.2sec,1,0.000201
58,0.2sec,1,0.000197
59,0.2sec,1,0.000194
60,0.2sec,1,0.000191
61,0.2sec,1,0.000190
62,0.2sec,1,0.000188
63,0.2sec,1,0.000185
64,0.2sec,1,0.000184
65,0.2sec,1,0.000182
66,0.2sec,1,0.000181
67,0.2sec,1,0.000179
68,0.2sec,1,0.000177
69,0.2sec,1,0.000175
70,0.2sec,1,0.000173
71,0.2sec,1,0.000172
72,0.2sec,1,0.000172
73,0.2sec,1,0.000171
74,0.2sec,1,0.000170
75,0.2sec,1,0.000170
76,0.2sec,1,0.000169
77,0.2sec,1,0.000169
78,0.2sec,1,0.000169
79,0.2sec,1,0.000169
80,0.2sec,1,0.000169
81,0.2sec,1,0.000169
82,0.2sec,1,0.000168
83,0.2sec,1,0.000168
84,0.2sec,1,0.000168
85,0.2sec,1,0.000168
86,0.2sec,1,0.000169
87,0.2sec,1,0.000169
88,0.2sec,1,0.000172
89,0.2sec,1,0.000174
90,0.2sec,1,0.000176
91,0.2sec,1,0.000179
92,0.2sec,1,0.000181
93,0.2sec,1,0.000183
94,0.2sec,1,0.000185
95,0.2sec,1,0.000188
96,0.2sec,1,0.000190
97,0.2sec,1,0.000194
98,0.2sec,1,0.000198
99,0.2sec,1,0.000201
100,0.2sec,1,0.000203
101,0.2sec,1,0.000205
102,0.2sec,1,0.000207
103,0.2sec,1,0.000210
104,0.2sec,1,0.000211
105,0.2sec,1,0.000213
106,0.2sec,1,0.000214
107,0.2sec,1,0.000216
108,0.2sec,1,0.000218
109,0.2sec,1,0.000220
110,0.2sec,1,0.000222
111,0.2sec,1,0.000223
112,0.2sec,1,0.000223
113,0.2sec,1,0.000224
114,0.2sec,1,0.000224
115,0.2sec,1,0.000225
116,0.2sec,1,0.000226
117,0.2sec,1,0.000226
118,0.2sec,1,0.000226
119,0.2sec,1,0.000226
120,0.2sec,1,0.000226
121,0.2sec,1,0.000227
122,0.2sec,1,0.000227
123,0.2sec,1,0.000227
124,0.2sec,1,0.000227
125,0.2sec,1,0.000227
126,0.2sec,1,0.000227
127,0.2sec,1,0.000227
128,0.2sec,1,0.000226
129,0.2sec,1,0.000225
130,0.2sec,1,0.000223
131,0.2sec,1,0.000221
132,0.2sec,1,0.000218
133,0.2sec,1,0.000216
134,0.2sec,1,0.000214
135,0.2sec,1,0.000212
136,0.2sec,1,0.000210
137,0.2sec,1,0.000207
138,0.2sec,1,0.000203
139,0.2sec,1,0.000201
140,0.2sec,1,0.000197
141,0.2sec,1,0.000194
142,0.2sec,1,0.000191
143,0.2sec,1,0.000189
144,0.2sec,1,0.000187
145,0.2sec,1,0.000185
146,0.2sec,1,0.000183
147,0.2sec,1,0.000182
148,0.2sec,1,0.000181
149,0.2sec,1,0.000179
150,0.2sec,1,0.000177
151,0.2sec,1,0.000175
152,0.2sec,1,0.000173
153,0.2sec,1,0.000172
154,0.2sec,1,0.000172
155,0.2sec,1,0.000171
156,0.2sec,1,0.000170
157,0.2sec,1,0.000170
158,0.2sec,1,0.000169
159,0.2sec,1,0.000169
160,0.2sec,1,0.000169
161,0.2sec,1,0.000169
162,0.2sec,1,0.000169
163,0.2sec,1,0.000169
164,0.2sec,1,0.000168
165,0.2sec,1,0.000168
166,0.2sec,1,0.000168
167,0.2sec,1,0.000168
168,0.2sec,1,0.000169
169,0.2sec,1,0.000169
170,0.2sec,1,0.000172
171,0.2sec,1,0.000174
172,0.2sec,1,0.000176
173,0.2sec,1,0.000179
174,0.2sec,1,0.000181
175,0.2sec,1,0.000183
176,0.2sec,1,0.000185
177,0.2sec,1,0.000188
178,0.2sec,1,0.000192
179,0.2sec,1,0.000194
180,0.2sec,1,0.000198
181,0.2sec,1,0.000201
182,0.2sec,1,0.000203
183,0.2sec,1,0.000205
184,0.2sec,1,0.000207
185,0.2sec,1,0.000210
186,0.2sec,1,0.000211
187,0.2sec,1,0.000213
188,0.2sec,1,0.000215
189,0.2sec,1,0.000217
190,0.2sec,1,0.000219
191,0.2sec,1,0.000221
192,0.2sec,1,0.000222
193,0.2sec,1,0.000223
194,0.2sec,1,0.000223
195,0.2sec,1,0.000224
196,0.2sec,1,0.000225
197,0.2sec,1,0.000226
198,0.2sec,1,0.000226
199,0.2sec,1,0.000226
200,0.2sec,1,0.000226
201,0.2sec,1,0.000226
202,0.2sec,1,0.000226
203,0.2sec,1,0.000227
204,0.2sec,1,0.000227
205,0.2sec,1,0.000227
